Organism/Name	BioProject Accession	Size (Mb)	GC%	Replicons	Scaffolds	Genes	Proteins	Status	Assembly Accession	FTP_path	PubMedID
Streptomyces vietnamensis	PRJNA244969	9.15378	72.0029	chromosome:NZ_CP010407.1/CP010407.1; plasmid pSVL1:NZ_CP010408.1/CP010408.1	2	8309	7960	Complete Genome	GCA_000830005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/005/GCA_000830005.1_ASM83000v1	-
Streptomyces netropsis	PRJNA1087181	8.14401	71.4	chromosome:CP147867.1	1	7027	6794	Complete Genome	GCA_037414505.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/414/505/GCF_037414505.1_Str_netropsis_B-235_v1	-
Streptomyces californicus	PRJNA231221	8.0317	72.5206	chromosome:NZ_CP070242.1/CP070242.1; plasmid unnamed1:NZ_CP070241.1/CP070241.1; plasmid unnamed2:NZ_CP070243.1/CP070243.1	3	7042	6810	Complete Genome	GCA_016906185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/906/185/GCA_016906185.1_ASM1690618v1	-
Streptomyces calvus	PRJNA390440	7.76658	72.5	chromosome:NZ_CP022310.1/CP022310.1	1	6648	6430	Complete Genome	GCA_006716135.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/716/135/GCF_006716135.1_ASM671613v1	-
Pseudonocardia autotrophica	PRJDB7192	7.53529	72.7964	chromosome:NZ_AP018920.1/AP018920.1; plasmid pPA12743CP:NZ_AP018921.1/AP018921.1	2	7103	6882	Complete Genome	GCA_003945385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/945/385/GCF_003945385.1_ASM394538v1	-
Mycobacterium paragordonae	PRJNA427220	7.22425	66.8617	chromosome:NZ_CP025546.1/CP025546.1; plasmid unnamed1:NZ_CP025547.1/CP025547.1; plasmid unnamed2:NZ_CP025548.1/CP025548.1; plasmid unnamed3:NZ_CP025549.1/CP025549.1; plasmid unnamed4:NZ_CP025550.1/CP025550.1	5	6546	6283	Complete Genome	GCA_003614435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/614/435/GCF_003614435.1_ASM361443v1	-
Mycobacteroides immunogenum	PRJNA284839	5.57378	64.3	chromosome:NZ_CP011530.1/CP011530.1	1	5527	5395	Complete Genome	GCA_001605725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/725/GCF_001605725.1_ASM160572v1	27231356
Thermobifida halotolerans	PRJNA263722	5.50615	71.1839	chromosome:NZ_CP063196.1/CP063196.1; plasmid pTH1:NZ_CP063197.1/CP063197.1	2	4865	4720	Complete Genome	GCA_003574835.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/835/GCF_003574835.2_ASM357483v2	-
Glutamicibacter halophytocola	PRJNA289022	3.91842	59.9893	chromosome:NZ_CP012750.1/CP012750.1; plasmid pKLBMP5180:NZ_CP012751.1/CP012751.1	2	3660	3556	Complete Genome	GCA_001302565.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/302/565/GCF_001302565.1_ASM130256v1	-
Dietzia psychralcaliphila	PRJNA319132	3.90484	69.67	chromosome:NZ_CP015453.1/CP015453.1; plasmid unnamed:NZ_CP015454.1/CP015454.1	2	3652	3550	Complete Genome	GCA_003096095.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/095/GCF_003096095.1_ASM309609v1	-
Clavibacter sepedonicus	PRJNA184	3.40379	72.4187	chromosome:NC_010407.1/AM849034.1; plasmid pCS1:NC_010399.1/AM849035.1; plasmid pCSL1:NC_010408.1/AM849036.1	3	3299	3161	Complete Genome	GCA_000069225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/225/GCA_000069225.1_ASM6922v1	18192393
Corynebacterium felinum	PRJNA451207	3.23603	53.9	chromosome:CP047209.1	1	2882	2790	Complete Genome	GCA_030408755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/408/755/GCF_030408755.1_ASM3040875v1	-
Microbacterium sediminis	PRJNA528380	2.91986	71.6557	chromosome:NZ_CP038256.1/CP038256.1; plasmid unnamed:NZ_CP038257.1/CP038257.1	2	2830	2753	Complete Genome	GCA_004564075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/564/075/GCF_004564075.1_ASM456407v1	-
Corynebacterium auriscanis	PRJNA422036	2.59917	58.5	chromosome:CP047046.1	1	2262	2184	Complete Genome	GCA_030408435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/408/435/GCF_030408435.1_ASM3040843v1	-
Corynebacterium aquatimens	PRJNA453407	2.5244	61	chromosome:CP046980.1	1	2261	2193	Complete Genome	GCA_030408395.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/408/395/GCF_030408395.1_ASM3040839v1	-
Corynebacterium camporealensis	PRJNA276036	2.45181	59.4	chromosome:NZ_CP011311.1/CP011311.1	1	2311	2213	Complete Genome	GCA_000980815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/980/815/GCA_000980815.1_ASM98081v1	26021938
Corynebacterium renale	PRJEB6403	2.33509	59.1	chromosome 1:NZ_LS483464.1/LS483464.1	1	2202	2118	Complete Genome	GCA_900478035.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/035/GCA_900478035.1_47555_E02	-
Rhodoluna lacicola	PRJNA237851	1.43043	51.5	chromosome:NZ_CP007490.1/CP007490.1	1	1416	1358	Complete Genome	GCA_000699505.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/505/GCA_000699505.1_ASM69950v1	24984700
Streptomyces aurantiacus	PRJDB10510	9.42839	70.3	chromosome:NZ_AP023440.1/AP023440.1	1	8199	7888	Complete Genome	GCA_014701115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/701/115/GCA_014701115.1_ASM1470111v1	30832757
Nocardiopsis gilva YIM 90087	PRJNA389619	6.14215	69.7	chromosome:NZ_CP022753.1/CP022753.1	1	5485	5262	Complete Genome	GCA_002263495.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/495/GCF_002263495.1_ASM226349v1	-
Gulosibacter molinativorax	PRJNA245014	3.50267	64.1989	chromosome:NZ_CP028426.1/CP028426.1; plasmid pARLON1:NZ_CP028427.1/CP028427.1	2	3263	3155	Complete Genome	GCA_003010915.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/010/915/GCF_003010915.2_ASM301091v2	-
Corynebacterium nuruki S6-4	PRJNA558581	3.17395	69.3	chromosome:NZ_CP042429.1/CP042429.1	1	2893	2767	Complete Genome	GCA_007970465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/970/465/GCF_007970465.1_ASM797046v1	-
Corynebacterium freneyi	PRJNA231221	2.88181	68.9	chromosome:NZ_CP077258.1/CP077258.1	1	2566	2463	Complete Genome	GCA_019047805.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/047/805/GCA_019047805.1_ASM1904780v1	-
Corynebacterium accolens	PRJNA453400	2.46563	59.6	chromosome:NZ_CP046605.1/CP046605.1	1	2317	2200	Complete Genome	GCA_023520795.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/520/795/GCA_023520795.1_ASM2352079v1	-
Corynebacterium appendicis CIP 107643	PRJNA290985	2.28444	64.2	chromosome:CP046976.1	1	2233	2160	Complete Genome	GCA_030408415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/408/415/GCF_030408415.1_ASM3040841v1	-
Arcanobacterium haemolyticum	PRJEB6403	1.98885	53.1	chromosome 1:NZ_LS483427.1/LS483427.1	1	1848	1764	Complete Genome	GCA_900475915.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/915/GCA_900475915.1_48128_H02	-
Mycobacterium haemophilum DSM 44634	PRJNA171821	4.23576	63.9	chromosome:NZ_CP011883.2/CP011883.2	1	4045	3731	Complete Genome	GCA_000340435.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/435/GCA_000340435.3_ASM34043v3	-
Rubrobacter xylanophilus DSM 9941	PRJNA10670	3.22575	70.5	chromosome:NC_008148.1/CP000386.1	1	3308	3186	Complete Genome	GCA_000014185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/185/GCA_000014185.1_ASM1418v1	-
Bifidobacterium scardovii JCM 12489 = DSM 13734	PRJDB62	3.15835	64.6	chromosome:NZ_AP012331.1/AP012331.1	1	2585	2476	Complete Genome	GCA_001042635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/635/GCF_001042635.1_ASM104263v1	25858848
Corynebacterium efficiens YS-314	PRJNA305	3.2195	62.9346	chromosome:NC_004369.1/BA000035.2; plasmid pCE2:NC_004319.1/AP005225.1; plasmid pCE3:NC_004320.1/AP005226.1	3	2943	2816	Complete Genome	GCA_000011305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/305/GCA_000011305.1_ASM1130v1	12840036
Corynebacterium cystitidis	PRJEB6403	3.01157	56.9	chromosome 1:NZ_LT906473.1/LT906473.1	1	2817	2699	Complete Genome	GCA_900187295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/295/GCA_900187295.1_52191_E01	-
Corynebacterium callunae DSM 20147	PRJNA190670	2.92868	52.4609	chromosome:NC_020506.1/CP004354.1; plasmid pCC1:NC_020523.1/CP004355.1; plasmid pCC2:NC_020553.1/CP004356.1	3	2753	2616	Complete Genome	GCA_000344785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/785/GCA_000344785.1_ASM34478v1	26203323
